polygon_id,luas_ha
1,70.407
2,60.426
3,201.911
4,33.773
5,30.673
6,848.448
7,547.178
8,96.273
9,1.88
10,101.157
11,59.442
12,33.214
13,1.761
14,33.395
15,31.927
16,2.993
17,53.237
18,5.453
19,1.601
20,0.917
21,3.103
22,64.931
23,0.356
24,0.371
25,1.218
26,1.535
27,1.381
28,13.434
29,11.318
30,40.959
31,23.859
32,34.694
33,86.125
34,10.106
35,3.434
36,14.881
37,3.131
38,121.42
39,3.36
40,13.952
41,2.153
42,5.872
43,4.168
44,1.778
45,1.783
46,45.516
47,3.402
48,5.399
49,1.126
50,0.613
51,7.891
52,1.915
53,0.291
54,1.654
55,0.304
56,0.429
57,0.435
58,6.268
59,0.831
60,36.08
61,28.408
62,54.213
63,11.657
64,1.055
65,4.246
66,0.755
67,1.892
68,4.394
69,3.669
70,3.844
71,3.495
72,2.56
73,0.567
74,1.665
75,0.388
76,0.674
77,12.235
78,1.846
79,8.329
80,6.279
81,1.934
82,11.158
83,1.002
84,5.192
85,5.108
86,2.787
87,4.829
88,8.757
89,1.312
90,28.118
91,31.227
92,9.776
93,1.849
94,4.679
95,3.192
96,5.94
97,3.572
98,6.75
99,0.595
100,10.654
101,1.392
102,0.708
103,1.863
104,1.881
105,1.741
106,5.098
107,1.029
108,0.811
109,1.441
110,0.813
111,2.051
112,3.191
113,0.384
114,0.668
115,2.306
116,2.198
117,1.573
118,2.9
119,0.933
120,2.897
121,0.498
122,2.769
123,0.615
124,0.913
125,0.706
126,0.223
127,0.243
128,0.307
129,0.187
130,1.032
131,1.12
132,0.317
133,0.198
134,0.454
135,0.383
136,1.291
137,0.358
138,0.677
139,0.844
140,0.462
141,0.121
142,0.719
143,0.446
144,0.605
145,0.583
146,1.991
147,1.599
148,3.33
149,13.4
150,1.001
151,0.4
152,0.309
153,1.167
154,33.074
155,18.509
156,0.678
157,1.073
158,2.463
159,1.026
160,1.357
161,2.014
162,4.094
163,0.94
164,0.736
165,2.358
166,0.39
167,0.758
168,1.161
169,0.866
170,1.027
171,1.196
172,0.946
173,0.677
174,1.405
175,0.421
176,1.081
177,1.266
178,1.067
179,1.239
180,5.185
181,5.98
182,2.475
183,5.476
184,1.955
185,1.245
186,1.181
187,0.637
188,0.665
189,1.837
190,3.723
191,0.22
192,0.432
193,3.344
194,0.655
195,4.234
196,3.614
197,1.86
198,0.99
199,0.612
200,2.864
201,1.073
202,0.309
203,1.5
204,1.431
205,1.556
206,1.616
207,9.088
208,0.302
209,4.303
210,5.223
211,3.116
212,6.707
213,1.661
214,2.494
215,0.959
216,1.092
217,2.789
218,5.222
219,6.423
220,6.899
221,3.321
222,6.614
223,10.191
224,2.01
225,3.435
226,2.85
227,2.465
228,2.974
229,6.919
230,0.049
231,2.671
232,0.252
233,2.512
234,7.334
235,0.387
236,0.706
237,0.935
238,1.123
239,5.486
240,1.487
241,4.495
242,1.926
243,1.53
244,0.835
245,1.252
246,1.441
247,1.141
248,2.384
249,1.554
250,0.786
251,0.569
252,1.137
253,2.488
254,0.809
255,2.054
256,2.712
257,1.245
258,0.833
259,0.767
260,1.903
261,0.913
262,0.8
263,1.718
264,0.791
265,0.998
266,0.571
267,1.003
268,3.198
269,4.477
270,0.515
271,0.524
272,0.853
273,0.413
274,0.538
275,0.005
276,0.831
277,0.307
278,0.701
279,0.283
280,0.362
281,0.274
282,0.122
283,0.183
284,0.379
285,0.367
286,0.399
287,0.4
288,0.469
289,0.252
290,0.752
291,0.341
292,3.764
293,0.268
294,0.917
295,0.951
296,5.46
297,11.249
298,31.44
299,26.834
300,1.116
301,12.935
302,37.882
303,3.987
304,92.529
305,45.25
306,17.226
307,1.57
308,5.566
309,6.874
310,7.416
311,2.834
312,14.078
313,2.951
314,1.244
315,0.367
316,22.335
317,3.915
318,4
319,85.527
320,8.577
321,81.15
322,9.349
323,3.282
324,21.801
325,49.538
326,5.392
327,198.764
328,52.312
329,89.706
330,1.236
331,34.866
332,575.404
333,256.962
334,6.338
335,0.004
336,0.008
337,110.443
338,689.155
339,0.012
340,0.61
341,18.959
342,8.195
343,31.441
344,4.453
345,552.634
346,85.103
347,53.969
348,29.586
349,82.323
350,2.278
351,30.372
352,32.457
353,11.234
354,7.401
355,5.346
356,12.441
357,12.429
358,38.521
359,257.561
360,286.885
361,7.499
362,165.297
363,0.676
364,8.336
365,115.999
366,179.971
367,8.581
368,3.88
369,2.443
370,0.106
371,0.145
372,1.284
373,0.986
374,1.217
375,0.067
376,0.454
377,0.484
378,1.066
379,2.063
380,41.684
381,4.072
382,1.143
383,1.818
384,4.239
385,10.552
386,5.684
387,2.083
388,1.692
389,27.553
390,37.465
391,72.551
392,1.878
393,0.753
394,2.36
395,0.713
396,1.752
397,0.45
398,5.17
399,5.711
400,6.473
401,4.999
402,10.651
403,0.774
404,5.297
405,3.124
406,4.307
407,1.358
408,2.601
409,5.73
410,6.93
411,8.502
412,28.415
413,8.45
414,0.924
415,24.735
416,4.729
417,3.081
418,10.054
419,3.487
420,5.132
421,1.257
422,0.576
423,6.366
424,7.761
425,8.561
426,3.161
427,4.467
428,4.371
429,3.146
430,2.466
431,2.087
432,3.541
433,5.046
434,1.19
435,1.152
436,0.226
437,4.017
438,6.099
439,0.665
440,11.787
441,6.304
442,1.294
443,7.424
444,2.843
445,2.554
446,2.969
447,1.518
448,1.426
449,3.98
450,1.113
451,4.516
452,6.247
453,3.909
454,8.795
455,9.387
456,2.663
457,2.004
458,1.646
459,2.37
460,3.862
461,2.343
462,0.991
463,4.057
464,6.267
465,2.353
466,0.365
467,9.902
468,3.546
469,1.506
470,1.29
471,5.519
472,3.132
473,0.908
474,1.109
475,8.423
476,1.491
477,3.927
478,11.66
479,20.279
480,41.826
481,15.394
482,8.157
483,3.811
484,19.274
485,6.072
486,20.095
487,1.859
488,4.653
489,4.187
490,9.809
491,3.095
492,1.371
493,2.932
494,0.93
495,3.863
496,19.471
497,4.422
498,2.794
499,8.403
500,2.376
501,14.23
502,7.015
503,11.457
504,17.882
505,28.318
506,0.014
507,0.939
508,0.828
509,20.443
510,39.174
511,21.711
512,16.619
513,2.187
514,4.538
515,43.731
516,8.006
517,10.468
518,2.909
519,2.292
520,0.608
521,1.688
522,11.183
523,10.389
524,5.024
525,8.056
526,8.901
527,2.111
528,3.165
529,0.33
530,8.058
531,17.052
532,21.088
533,1.048
534,8.958
535,4.116
536,1.978
537,18.933
538,1.266
539,0.65
540,4.784
541,5.455
542,4.232
543,4.327
544,0.439
545,5.911
546,1.116
547,0.761
548,1.963
549,1.114
550,4.286
551,1.542
552,6.991
553,4.092
554,15.11
555,3.391
556,7.092
557,1.716
558,12.11
559,5.242
560,3.076
561,10.162
562,11.822
563,22.131
564,3.962
565,47.302
566,33.447
567,3.628
568,6.039
569,41.697
570,29.358
571,3.954
572,23.135
573,1.18
574,0.672
575,9.366
576,65.055
577,45.508
578,19.372
579,13.846
580,6.449
581,2.184
582,10.86
583,1.976
584,4.729
585,2.851
586,4.33
587,6.126
588,2.057
589,14.638
590,42.264
591,3.816
592,2.754
593,26.808
594,55.634
595,2.36
596,1.01
597,36.315
598,3.342
599,4.105
600,45.604
601,6.909
602,4.722
603,8.372
604,2.054
605,6.869
606,11.332
607,5.518
608,13.791
609,1.943
610,16.775
611,5.395
612,15.408
613,28.12
614,13.645
615,1.509
616,24.941
617,4.629
618,9.961
619,64.837
620,21.032
621,11.67
622,17.193
623,22.153
624,9.591
625,18.75
626,2.283
627,5.3
628,3.679
629,28.028
630,10.546
631,27.473
632,6.292
633,5.567
634,4.267
635,6.086
636,7.598
637,5.702
638,12.097
639,4.891
640,25.448
641,14.129
642,106.532
643,4.328
644,0.019
645,3.802
,10789.767
