No,Location_Vaname_Aquaculture,Latitude,Longitude,District,Sub-district,Photo_code
1,1,-0.941178,120.285789,Parigi Moutong,Parigi Selatan,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-1.jpg
2,2,-0.941148,120.286084,Parigi Moutong,Torue,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-2.jpg
3,3,-0.936452,120.283093,Parigi Moutong,Parigi Selatan,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-3.jpg
4,4,-0.93363,120.282621,Parigi Moutong,Parigi Selatan,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-4.jpg
5,5,-0.941175,120.285954,Parigi Moutong,Torue,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-5.jpg
6,6,-0.96147,120.334811,Parigi Moutong,Torue,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-6.jpg
7,7,-0.952468,120.362673,Parigi Moutong,Balinggi,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-7.jpg
8,8,-0.850675,120.210894,Parigi Moutong,Parigi Selatan,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-8.jpg
9,9,-0.852213,120.223369,Parigi Moutong,Parigi Selatan,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-9.jpg
10,10,-0.856125,120.226121,Parigi Moutong,Parigi Selatan,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-10.jpg
11,11,-0.834548,120.183815,Parigi Moutong,Parigi,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-11.jpg
12,12,-0.795701,120.170177,Parigi Moutong,Parigi,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-12.jpg
13,13,-1.086606,120.556335,Parigi Moutong,Sausu,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-13.jpg
14,14,-1.007878,120.503792,Parigi Moutong,Sausu,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-14.jpg
15,15,-0.960107,120.428423,Parigi Moutong,Balinggi,https://kiprahagroforestri.id/wp-content/uploads/2025/12/Lbv_d1_-15.jpg
