No,fishing_port,Latitude,Longitude,District,Sub-district,lowest_small_pelagic_ton_year,highest_small_pelagic_ton_year,lowest_demand_per_year,highest_demand_per_year,photo_code
1,TPI Tambu,-0.663035,119.74148,Donggala,Banawa,200,5000,2800,100000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/TPI_PPI_1.jpg
2,TPI Boyantongo,-0.117297,119.820947,Donggala,Balaesang,200,5000,2800,100000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/TPI_PPI_2.jpg
3,PPI Paranggi,0.74135,120.102938,Donggala,Sojol Utara,200,5000,2800,100000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/TPI_PPI_3.jpg
4,PPI Tinombo,0.460368,121.235121,Parigi Moutong,Moutong,200,5000,2800,100000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/TPI_PPI_4.jpg
5,PPI Ambesia,0.42319,120.95087,Parigi Moutong,Bolano,200,5000,2800,100000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/TPI_PPI_5.jpg
6,TPI Ogotion,0.488396,120.716694,Parigi Moutong,Mepanga,200,5000,2800,100000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/TPI_PPI_6.jpg
7,TPI Bolano,0.520677,120.601098,Parigi Moutong,Tomini,200,5000,2800,100000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/TPI_PPI_7.jpg
8,TPI Moutong,0.387402,120.289297,Parigi Moutong,Tinombo,200,5000,2800,100000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/TPI_PPI_8.jpg
9,TPI Ogoamas,-0.471728,120.063742,Parigi Moutong,Ampibabo,200,5000,2800,100000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/TPI_PPI_9.jpg
10,TPI Mapaga,-0.848598,120.20105,Parigi Moutong,Parigi Selatan,200,5000,2800,100000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/TPI_PPI_10.jpg
11,PPI Labuan Bajo Donggala,-1.043229,120.529271,Parigi Moutong,Sausu,200,5000,2800,100000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/TPI_PPI_11.jpg
