No,ice_producer,Latitude,Longitude,district,sub-district,ice_block_per_day,lowest_supply_per_year,highest_supply_per_year,photo_code,Ket
1,Pabrik es Kampal (PJU),-0.801412,120.16751,Parigi Moutong,Parigi,250,67250,91250,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-4.jpg,Aktif
2,PABRIK ES AN-NUUR 1,-0.812972,120.175089,Parigi Moutong,Parigi,300,80700,109500,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-6.jpg,Aktif
3,Pabrik es TPI Paranggi 2,-0.471009,120.063993,Parigi Moutong,Ampibabo,136,36584,49640,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-9.jpg,Aktif
4,PURI Pabrik ES,-0.98762,120.35034,Parigi Moutong,Torue,250,67250,91250,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-3.jpg,Aktif
5,Pabrik es TPI Paranggi 1,-0.471155,120.064075,Parigi Moutong,Ampibabo,200,53800,73000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-8.jpg,Aktif
6,Permata Gunung Hermon 1,-0.980434,120.324696,Parigi Moutong,Torue,250,67250,91250,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-2.jpg,Aktif
7,Pabrik es Ampbabo,-0.465696,120.064115,Parigi Moutong,Ampibabo,200,53800,73000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-10.jpg,Aktif
8,Pabrik Es TPI Donggala,-0.663145,119.741094,Donggala,Donggala Kota,700,188300,255500,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-18.jpg,Aktif
9,Pabrik es Kayumalue,-0.761782,119.866074,Kota Palu,Palu Utara,500,134500,182500,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-16.jpg,Aktif
10,Permata Gunung Hermon 2,-0.980434,120.324696,Parigi Moutong,Torue,550,147950,200750,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-1.jpg,Aktif
11,Pabrik es berkah,0.42339,120.953062,Parigi Moutong,Bolano,1000,269000,365000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-12.jpg,Aktif
12,Pabrik Es Tonggolobibi,0.479858,119.977094,Donggala,Sojol,280,75320,102200,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-15.jpg,Aktif
13,Pabrik Es Pemda Donggala,0.740845,120.113983,Donggala,Sojol Utara,200,53800,73000,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-13.jpg,Aktif
14,Pabrik es Donggala,-0.672474,119.750872,Donggala,Donggala Kota,500,134500,182500,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-17.jpg,Aktif
15,Pabrik es Ogoamas,0.741388,120.129803,Donggala,Sojol Utara,280,75320,102200,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-14.jpg,Aktif
16,PABRIK ES ARIES 25,-0.794612,120.168124,Parigi Moutong,Parigi,500,134500,182500,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-5.jpg,Aktif
17,Pabrik es Ampbabo 2,-0.472764,120.061323,Parigi Moutong,Ampibabo,201,54069,73365,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-11.jpg,Aktif
18,PABRIK ES BERSAMA,-0.780557,120.149585,Parigi Moutong,Parigi,300,80700,109500,https://kiprahagroforestri.id/wp-content/uploads/2025/12/PBES_-7.jpg,Aktif
